geometry/type,geometry/coordinates/0,geometry/coordinates/1,type,properties/state,properties/code,properties/name,properties/zone,properties/address,geometry
Point,79.74565299999999,25.307555999999998,Feature,Uttar Pradesh,CRC,CHARKHARI ROAD,NCR,"Charkhari, Uttar Pradesh",
Point,83.934035,26.381257,Feature,,BTT,BHATNI JN,,,
Point,88.266903,24.122264,Feature,West Bengal,CSZ,Cossimbazar,ER,"Berhampore, West Bengal",
Point,73.048979,21.85838,Feature,,VRE,VAREDIYA,,,
Point,73.030592,21.807541,Feature,,NIU,NABIPUR,,,
,,,Feature,,KTTY,KTTY,,,
Point,73.010489,21.753134000000003,Feature,,CVJ,CHAVAJ,,,
Point,73.000633,21.623889,Feature,,AKV,ANKLESHWAR JN,,,
Point,92.71665800000001,24.984962,Feature,Assam,CNE,CHANDRANATHPUR,NFR,"National Highway 54, Assam",
Point,72.978371,21.535197,Feature,,PAO,PANOLI,,,
Point,73.86881457700001,25.946542716,Feature,Rajasthan,CNL,CHANDAWAL,NWR,"Pali, Rajasthan",
Point,73.7180903,25.82438,Feature,Rajasthan,BFY,BHESANA,NWR,"Marwar, Rajasthan",
Point,72.969512,21.501091000000002,Feature,,HAT,HATHURAN,,,
Point,78.257278,12.97518,Feature,Karnataka,COL,Coromandel,SWR,"KGF, Karnataka",
Point,72.91647999999999,21.37682,Feature,,KDSD,KUDSAD,,,
Point,72.890287,21.317203,Feature,,SYN,SAYAN,,,
Point,79.290097,28.213407,Feature,Uttar Pradesh,MQP,Makrandpur,NER,"Aonla- Bareilly Link Rd, Uttar Pradesh",
Point,72.880104,21.294043,Feature,,GTX,GOTHANGAM,,,
Point,76.207809,10.596938999999999,Feature,,MGK,MULANGUNNATHUKAVU,,,
Point,77.172004,28.591905,Feature,Delhi NCT,CNKP,CHANAKYAPURI,NR,"Chanakyapuri, Delhi NCT",
Point,72.85479600000001,21.232602,Feature,,URN,UTRAN,,,
Point,72.840793,21.206568,Feature,,ST,SURAT,,,
Point,72.851461,21.171156,Feature,,UDN,UDHNA JN,,,
Point,80.605456,16.188934,Feature,,VRU,VALIVERU,,,
Point,81.63387399999999,16.843925,Feature,,MRPL,MARAMPALLI,,,
Point,81.67550399999999,16.898297,Feature,,NDD,NIDADAVOLU JN,,,
Point,80.287678,21.416128,Feature,,GDM,GUDMA,,,
Point,83.25998102000001,21.975035039999998,Feature,,BEF,BHUPDEOPUR,,,
Point,83.39067,21.891288999999997,Feature,,RIG,RAIGARH,,,
Point,83.482238,21.883182,Feature,,KRL,KOTARLIA,,,
Point,78.775924,10.160613,Feature,Tamil Nadu,CTND,Chettinad,SR,"Kanadukathan, Tamil Nadu",
Point,78.25287,28.919358,Feature,Uttar Pradesh,SEPR,SHERPUR,NR,"State Highway 51, Uttar Pradesh",
Point,72.914294,20.946851,Feature,Gujarat,NVS,NAVSARI,WR,"Navsari, Gujarat",
Point,74.268446,30.60775,Feature,Punjab,JBD,Jalalabad,NR,"Jalalabad, Punjab",
Point,88.67133299999999,26.859243000000003,Feature,West Bengal,DDM,DAM DIM,NFR,"National Highway 31, West Bengal",
Point,70.655356,23.417869,Feature,Gujarat,COE,CHITROD,WR,"Kutch, Gujarat",
Point,75.70272,27.158223,Feature,Rajasthan,COM,Chomun Samod,NWR,"Chomun, Rajasthan",
Point,76.78753499999999,30.395686,Feature,Haryana,DKT,DHULKOT,NR,"Ambala City, Haryana",
Point,81.21464405030001,25.7036520692,Feature,,KUW,KANWAR,,,
Point,83.267724,25.261093,Feature,,CDMR,CHANDAULI MJHWR,,,
,,,Feature,,IGPX,IGPX,,,
Point,81.102658,25.761853,Feature,,KGA,KHAGA,,,
